"step";"bible_ref";"bible_ref_positive_negative";"bible_ref_literal_figurative";"bible_ref_origin";"bible_ref_author";"bible_ref_type";"category";"bible_trans_nl_trans_text";"Principles";"title_nl";"title_ot_nl";"title_ot_en";"title_ot_code";"title_en";"title_negative_en";"devotional_en";"devotional_nl";"devotional_source";"media_author";"media_title";"media_description_en";"media_target_audience";"media_lang";"media_type";"media_public";"media_img_url";"media_url";"questions";"quote";"quote_source";"extra"
1;"Mat 4:17";"positive";"literal";;"Jesus";"primary";"Salvation Commands";"Bekeer u, want het Koninkrijk der hemelen is nabijgekomen.";"Believe";"Bekeer u en geloof het evangelie";"Weet en geloof dat G’d bestaat ";"To know that G-d exists";"CCA1";"Repent and believe the gospel";;"<h5>What is the gospel?</h5>
<p><i>Here is a summary of the circle story of the Gospel according to the Bible.</i></p>

<ol type = 1>
<li>Before there was anything, God was there. God created heaven and earth and man according to his image. He created them male and female. God and man loved each other.</li>
<li>The righteous God told man that if they rebelled, that would result them in dying. Man, made in the image of God with his own will, rebelled.</li>
<li>Man died spiritually (that is, separated from God) and later also physically. Man would be separated from God forever.</li>
<li>God still loved mankind. As their Creator, He continued to love them</li>
<li>God came into creation as a human to restore the relationship between God and human. He walked on earth to show people how to live. Then He died for humanity and rose again after 3 days.</li>
<li>He told his followers that He would go back to where He had come from. Just before He left, He instructed them to tell everyone that He had restored the relationship to anyone who wants to believe it. He also said that He will return when all nations have heard this good news.</li>
<li>If they believed the good news, they would receive a living spirit that would bring them into relationship with God. Then they could also understand His Word and moreover resist the temptations of the world.</li>
<li>Those who believed Him at His word began to love Him and to follow His example.</li>
<li>Through this process of discipleship, they begin to look more and more like Him, and tell others, far and near, of the good news.</li>
<li>Ultimately, when He returns, it will be better than it was in the beginning. Because in the beginning, before there was anything ... (See point 1)</li>
</ol>

<p><b><i>Do you repent your sins and believe the gospel?</b></i></p>";"<h5>Wat is het evangelie?</h5> 
<p><i>Hier is de samengevatte cirkel vertelling van het evangelie volgens de Bijbel.</i></p>

<ol type=1>
<li>Voordat er ook maar iets was, was God er. God schiep de hemel en de aarde en de mens naar zijn gelijkenis. Man en vrouw schiep Hij hen. God en de mens hielden van elkaar.</li>
<li>De rechtvaardige God had tegen de mens gezegd dat als ze zouden rebelleren, dat de consequentie zou zijn dat ze zouden sterven. De mens, gemaakt naar God beeld met zijn eigen wil, rebelleerde.</li>
<li>De mens stierf geestelijk (dat wil zeggen kwam los van God) en later ook lichamelijk. De mens zou voor altijd van God gescheiden zijn.</li>
<li>God hield nog steeds van de mens. Als hun Maker bleef Hij van hen houden</li>
<li>God kwam in de schepping als mens om de relatie tussen God en mens te herstellen. Hij wandelde op aarde om de mens te tonen hoe te leven. Toen stierf Hij voor de mensheid en stond na 3 dagen weer op.</li>
<li>Hij vertelde zijn volgelingen, dat Hij weer terug zou gaan naar waar Hij vandaan gekomen was. Net voor Hij vertrok gaf Hij hen de opdracht om iedereen te vertellen dat Hij de relatie hersteld had voor iedereeen die het wil geloven. Ook zei Hij, dat Hij terugkomt als alle volkeren dit goede nieuws gehoord hebben.</li>
<li>Als zij het goede nieuws zouden geloven, dan zouden ze een levende geest ontvangen die hen in relatie met God zou brengen. Dan zouden ze ook Zijn Woord kunnen begrijpen en bovendien weerstand bieden aan de verleidingen van de wereld.</li>
<li>Zij die Hem op Zijn woord geloofden gingen van Hem houden en gingen Zijn voorbeeld volgen.</li>
<li>Door dit proces van discipelschap, beginnen zij steeds meer op Hem te lijken, en anderen, veraf en dichtbij, van het goede nieuws te vertellen.</li>
<li>Uiteindelijk, wanneer Hij terugkomt, zal het beter zijn dan het in het begin was. Want in het begin, voor er ook maar iets was… (Zie punt 1)</li>
</ol>

<p><b><i>Heb jij berouw van jouw zonden en geloof jij het evangelie?</b></i></p>";"Maarten Bryunes";"Sidewalk Prophets";"Live like that";;"adults";"en";"Song";"yes";;"https://www.youtube.com/embed/GfosSggwQS0";"With which other christians would you like to walk through all the commandments?";"God’s love is so real that He created you to prove it.";"Nick Vujicic";"Beeld van iemand die gedoopt wordt"
1;"Mat 3:2";"positive";"literal";;"John the baptist";"duplicate";"Salvation Commands";"Bekeer u, want het Koninkrijk der hemelen is nabijgekomen.";"Repent";;;;;;;;;;"Creation Today and Seven Fold Films";"Genesis: Paradise lost";"If there is one part of the Bible that has undergone more scrutiny and abuse than any other, it is the very beginning-GENESIS. Both from within and without the church, assaults on GENESIS continue to question the Creation and ultimately the Creator. So, what exactly happened at the ""Creation,"" at the ""Beginning?""";"adults";"en";"Movie";"yes";;"https://player.vimeo.com/video/254067216";"Share your testimony!";;;
1;"Rom 10:9";"positive";"literal";;"Paul";"direct";"Salvation Commands";;"Diligent";;;;;;;;;;"Joop Gottmers";"Drugs… gefeliciteerd, jij hebt van mij gewonnen!";;"adults";"nl";"Testimony";"yes";;"https://www.youtube.com/embed/x4x5taZ1sxU";"Are you cold, lukewarm or hot? Do you have an earnestly desire to follow Jesus to glorify your Father in heaven with your whole life?";;;
1;"Rom 6:23";"both";"literal";;"Paul";"indirect";"Salvation Commands";;;;;;;;;;;;"Nicky Cruz";"Ik zal nooit meer huilen";;"adults";"nl";"Book";"yes";"/media/images/1_-_book_Ik-zal-nooit-meer-huilen.jpg";;;;;
1;"Mat 7:21";"both";"literal";;"Jesus";"direct";"Salvation Commands";;;;;;;;;;;;"Joel Muniz";;;"any";"any";"picture";"yes";"/media/images/1_-_picture_Repent.jpg";;;;;
1;"Mar 1:15";"positive";"literal";;"Jesus";"duplicate";"Salvation Commands";"en Hij zei: De tijd is vervuld en het Koninkrijk van God is nabijgekomen. bekeer u en geloof het Evangelie.";;;;;;;;;;;"Ben White";;;"any";"any";"picture";"yes";"/media/images/1_-_picture_Repent2.jpg";;;;;"Accepteer de vergeving dat Jezus Christus voor jouw zonden is gestorven en opgestaan en je zult eeuwig leven ontvangen"
1;"Mat 12:41";"positive";"literal";;"Jesus";"example";"Salvation Commands";"De mannen van Ninevé zullen opstaan in het oordeel samen met dit geslacht en zullen het veroordelen, want zij hebben zich bekeerd op de prediking van Jona. en zie, meer dan Jona is hier!";;;;;;;;;;;"Pure Flix";"The Case for Christ";"A seasoned journalist chases down the biggest story in history. Is there credible evidence that Jesus of Nazareth really is the son of God?";"adults";"en";"Movie";"yes";;"https://www.youtube.com/embed/rhe8KhSxWGo";;;;"Wie in Mij gelooft, heeft eeuwig leven."
1;"Luk 13:3";"negative";"literal";;"Jesus";"direct";"Salvation Commands";"maar als u zich niet bekeert, zult u allen evenzo omkomen.";;;;;;;;;;;"Louie Giglio";"From the Inside Out";;"adults";"en";"Sermon";"yes";;"https://www.youtube.com/embed/oDu8xPknHB8";;;;
1;"Jes 55:7";"positive";"literal";;"Isaiah";"direct";"Salvation Commands";"Laat de goddeloze zijn weg verlaten, de man van ongerechtigheid zijn gedachten. Laat hij zich bekeren tot de HEERE, dan zal Hij Zich over hem ontfermen, tot onze God, want Hij vergeeft veelvuldig.";;;;;;;;;;;"Jenske Visser";;;"any";"any";"Drawing";"yes";"/media/images/1_-_Repent_and_believe_the_gospel.png";;;;;
1;"Han 2:38";"positive";"literal";;"Peter";"direct";"Salvation Commands";"En Petrus zei tegen hen: Bekeer u en laat ieder van u gedoopt worden in de Naam van Jezus Christus, tot vergeving van de zonden. en u zult de gave van de Heilige Geest ontvangen.";;;;;;;;;;;"Hillsong Worship";"Mighty to Save";;"adults";"en";"Song";"yes";;"https://www.youtube.com/embed/GEAcs2B-kNc";;;;
